,img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,franchise
3287,/games/boxart/full_2287522AmericaFrontccc.jpg,Pro Evolution Soccer 2010,Wii,Sports,Konami,Konami,8.1,0.51,0.12,0.06,0.27,0.05,11/10/2009,11/10/09,Pro Evolution Soccer
380,/games/boxart/full_pro-evolution-soccer-2011_2AmericaFront.jpg,Pro Evolution Soccer 2011,PS3,Sports,Konami,Konami,6,2.41,0.29,0.54,1.18,0.41,10/05/2010,10/05/10,Pro Evolution Soccer
4393,/games/boxart/full_pro-evolution-soccer-2011-3d_374AmericaFront.jpg,Pro Evolution Soccer 2011 3D,3DS,Sports,Konami,Konami,7.5,0.38,0.11,0.11,0.13,0.02,3/25/2011,3/25/2011,Pro Evolution Soccer
449,/games/boxart/full_pro-evolution-soccer-2012_544AmericaFront.jpg,Pro Evolution Soccer 2012,PS3,Sports,Konami,Konami,7.5,2.19,0.34,0.55,0.97,0.32,9/27/2011,9/27/2011,Pro Evolution Soccer
1344,/games/boxart/full_2467036AmericaFrontccc.jpg,Pro Evolution Soccer 2014,PS3,Sports,Konami Digital Entertainment,Konami,8.3,1.08,0.03,0.51,0.46,0.08,9/24/2013,03/01/18,Pro Evolution Soccer
1928,/games/boxart/full_7357354AmericaFrontccc.jpg,Professor Layton vs Ace Attorney,3DS,Adventure,Nintendo,Level 5,8.1,0.82,0.2,0.3,0.27,0.04,8/29/2014,01/07/18,Professor Layton
3032,/games/boxart/full_9221345AmericaFrontccc.jpg,Project CARS 2,PS4,Racing,Namco Bandai Games,Slightly Mad Studios,8.5,0.55,0.1,0.02,0.35,0.08,9/22/2017,9/22/2017,Project CARS
8286,/games/boxart/full_4384647AmericaFrontccc.jpg,Project Sylpheed: Arc of Deception,X360,Shooter,Microsoft,Game Arts / Seta Corporation,6.7,0.15,0.12,0.02,0.01,0.01,07/10/2007,07/10/07,Project Sylpheed: Arc of Deception
7198,/games/boxart/full_5562911AmericaFrontccc.jpg,Project X Zone 2,3DS,Role-Playing,Namco Bandai Games,Monolith Soft,6.6,0.19,0.06,0.09,0.04,0.01,2/16/2016,6/14/2018,Project X Zone
367,/games/boxart/full_6641857AmericaFrontccc.jpg,Pure,X360,Racing,Disney Interactive Studios,Black Rock Studio,8.3,2.47,1.38,0,0.84,0.25,9/16/2008,9/16/2008,Pure
